,time_sec,gaze_x,gaze_y,gaze_z,Sgaze_x,Sgaze_y,Sgaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadPos_x,HeadPos_y,set_x,set_y,set_z,WTransG_x,WTransG_y,WTransG_z,RegSgaze_x,RegSgaze_y,RegSgaze_z,CalPSgaze_x,CalPSgaze_y,CalPSgaze_z,ROpenClose,LOpenClose
15,2024-02-16 09:16:46.866493,-0.47181501210828825,-0.03641845654862175,0.8809450822631564,256.564929340101,166.22735694939067,0.0,0,0,0,0,28.172532886314023,-2.087085381711575,0.0,606,345,298,168,0,0.0,0.0,0.0,253.9569025151137,160.7490134217608,0.0,259.17295616508835,171.70570047702054,0.0,1,1
16,2024-02-16 09:16:47.011024,-0.4727783162584958,-0.03333248731972138,0.8805508136821556,257.3380141933559,164.20676562791314,0.0,0,0,0,0,28.23188572610697,-1.910164671749328,0.0,605,346,298,168,0,0.0,0.0,0.0,254.7299873683686,158.72842210028327,0.0,259.94604101834324,169.68510915554302,0.0,1,1
17,2024-02-16 09:16:47.167028,-0.4690441710431833,-0.04616072584829728,0.8819675136520222,254.38410001780326,172.6020669042093,0.0,0,0,0,0,28.004746561001873,-2.6457549395874995,0.0,606,345,298,168,0,0.0,0.0,0.0,251.77607319281594,167.12372337657942,0.0,256.9921268427906,178.08041043183917,0.0,1,1
18,2024-02-16 09:16:47.322009,-0.486082226825827,-0.04173626778660394,0.872915907689728,268.8937470342096,169.97878985284854,0.0,0,0,0,0,29.11119720818866,-2.392006785681014,0.0,605,345,298,168,0,0.0,0.0,0.0,266.2857202092223,164.50044632521866,0.0,271.50177385919693,175.4571333804784,0.0,1,1
19,2024-02-16 09:16:47.475305,-0.4774924235021663,-0.04750501636517801,0.8773506789488061,261.58747812941726,173.64980193439328,0.0,0,0,0,0,28.55695619631796,-2.7228617247552025,0.0,606,345,298,168,0,0.0,0.0,0.0,258.97945130443,168.1714584067634,0.0,264.1955049544046,179.12814546202316,0.0,1,1
20,2024-02-16 09:16:47.626472,-0.48434079137567815,-0.03588189508704015,0.8741432686359063,267.28587815977164,166.05802705423304,0.0,0,0,0,0,28.98973371993822,-2.056322566606413,0.0,605,345,298,168,0,0.0,0.0,0.0,264.6778513347843,160.57968352660316,0.0,269.89390498475893,171.5363705818629,0.0,1,1
21,2024-02-16 09:16:47.776477,-0.4903564004740382,-0.041385022224349755,0.870538856838129,272.6208627895678,169.8205971403583,0.0,0,0,0,0,29.391654938138164,-2.3718644940071885,0.0,605,346,298,168,0,0.0,0.0,0.0,270.0128359645805,164.34225361272843,0.0,275.22888961455516,175.29894066798818,0.0,1,1
22,2024-02-16 09:16:47.929482,-0.48510329761404,-0.03704750781783467,0.8736717323898598,267.96507620258467,166.8441666723741,0.0,0,0,0,0,29.04107737931013,-2.1231517057073397,0.0,605,346,298,168,0,0.0,0.0,0.0,265.3570493775974,161.3658231447442,0.0,270.573103027572,172.32251020000396,0.0,1,1
23,2024-02-16 09:16:48.083196,-0.4853415204183287,-0.031230175257985493,0.8737667501827618,268.08810491205713,162.9825400772445,0.0,0,0,0,0,29.050372217132022,-1.789648230601323,0.0,606,346,298,168,0,0.0,0.0,0.0,265.4800780870698,157.50419654961462,0.0,270.6961317370444,168.46088360487437,0.0,1,1
24,2024-02-16 09:16:48.249197,-0.4830401768704883,-0.04646275399100919,0.8743645910165416,266.34240857719703,173.0660661366287,0.0,0,0,0,0,28.918327891422248,-2.6630784650489687,0.0,606,346,298,168,0,0.0,0.0,0.0,263.73438175220974,167.58772260899883,0.0,268.9504354021844,178.54440966425858,0.0,1,1
25,2024-02-16 09:16:48.410196,-0.4860753705166702,-0.038994158267862955,0.8730465427046957,268.84090027758714,168.1541518494145,0.0,0,0,0,0,29.10720954413056,-2.2347672824022897,0.0,605,346,298,168,0,0.0,0.0,0.0,266.23287345259985,162.67580832178461,0.0,271.4489271025745,173.63249537704436,0.0,1,1
26,2024-02-16 09:16:48.568198,-0.48427850771090436,-0.0396277083962957,0.8740159610335444,267.2913521088493,168.54558625522645,0.0,0,0,0,0,28.99014772458028,-2.2710951119312597,0.0,605,346,298,168,0,0.0,0.0,0.0,264.683325283862,163.06724272759658,0.0,269.89937893383666,174.02392978285633,0.0,1,1
27,2024-02-16 09:16:48.720200,-0.12037271491297652,-0.07154678232745337,0.9901471979563967,16.59897308186262,184.14826117446418,0.0,0,0,0,0,6.931463949577402,-4.102834117003142,0.0,605,348,298,168,0,0.0,0.0,0.0,13.990946256875297,178.6699176468343,0.0,19.206999906849944,189.62660470209406,0.0,1,1
28,2024-02-16 09:16:48.867176,-0.18764049896094248,0.06621863952992671,0.9800031445547224,57.113489473272864,103.10123576665103,0.0,0,0,0,0,10.839195691001992,3.7968268148462325,0.0,606,347,298,168,0,0.0,0.0,0.0,54.50546264828554,97.62289223902116,0.0,59.721516298260184,108.5795792942809,0.0,1,1
29,2024-02-16 09:16:49.014176,-0.1652582404348656,0.08872903872925214,0.9822509229721692,43.65196367175868,89.90768303194486,0.0,0,0,0,0,9.550255247195288,5.090493842009884,0.0,605,346,298,168,0,0.0,0.0,0.0,41.04393684677135,84.42933950431498,0.0,46.259990496746,95.38602655957473,0.0,1,1
30,2024-02-16 09:16:49.168959,-0.1617216260005751,0.08354904191760465,0.983293294745202,41.46387633752343,93.01661455609128,0.0,0,0,0,0,9.339785343407186,4.792594289701798,0.0,606,346,298,168,0,0.0,0.0,0.0,38.8558495125361,87.53827102846141,0.0,44.07190316251075,98.49495808372116,0.0,1,1
31,2024-02-16 09:16:49.325806,-0.15856024068474,0.08382849847326132,0.9837842369674514,39.553707277614535,92.87654393527023,0.0,0,0,0,0,9.155839770836389,4.808662338605134,0.0,605,345,298,168,0,0.0,0.0,0.0,36.94568045262721,87.39820040764036,0.0,42.161734102601855,98.35488746290011,0.0,1,1
32,2024-02-16 09:16:49.488807,-0.1579076894225977,0.08997464216492743,0.9833461624670332,39.21068935162802,89.23179863275188,0.0,0,0,0,0,9.122787526724407,5.162148275374943,0.0,604,345,298,168,0,0.0,0.0,0.0,36.60266252664069,83.753455105122,0.0,41.81871617661534,94.71014216038175,0.0,1,1
33,2024-02-16 09:16:49.647569,-0.16083908643389971,0.07857699353479611,0.9838478243683596,40.89021247704757,95.97357035624972,0.0,0,0,0,0,9.284562856290545,4.506775966246895,0.0,605,345,298,168,0,0.0,0.0,0.0,38.28218565206024,90.49522682861985,0.0,43.49823930203489,101.4519138838796,0.0,1,1
34,2024-02-16 09:16:49.807135,-0.16458445650428621,0.08134706093242455,0.983002844821807,43.180080880506225,94.3004373275767,0.0,0,0,0,0,9.50488711695155,4.665999035686939,0.0,606,344,298,168,0,0.0,0.0,0.0,40.5720540555189,88.82209379994683,0.0,45.788107705493545,99.77878085520658,0.0,1,1
35,2024-02-16 09:16:49.957113,-0.1769146908621853,0.08318639153472374,0.9807044323789621,50.69494997777508,93.10094051992593,0.0,0,0,0,0,10.225922912316719,4.77174336807756,0.0,606,344,298,168,0,0.0,0.0,0.0,48.086923152787755,87.62259699229605,0.0,53.3029768027624,98.5792840475558,0.0,1,1
